match id,bowler,bowler_id,bowler_details,is_bowler_captain,is_bowler_keeper,inning,runs,wicket_count,balls_bowled,economy,maiden,dots,Fours,Sixes,wides,noballs,match_dt
8638034,BV Ss,6718396.0,NZ:Right-hand bat:Right-arm medium-fast:,0.0,0.0,1,21,0,12,10.5,0,3.0,1,1,3,1,2021-01-01
8638034,HK Bt,1585464.0,NZ:Left-hand bat:Right-arm medium-fast:,0.0,0.0,1,34,1,24,8.5,0,7.0,3,1,2,0,2021-01-01
8638034,JS Nm,2486896.0,NZ:Left-hand bat:Right-arm medium-fast:,0.0,0.0,1,23,2,24,5.75,0,12.0,1,1,0,0,2021-01-01
8638034,LV vn Bk,3083667.0,NED:Right-hand bat:Right-arm medium-fast:,0.0,0.0,1,31,1,24,7.75,0,9.0,4,0,2,0,2021-01-01
8638034,PF Yd,4950294.0,NZ:Right-hand bat:Legbreak googly:,0.0,0.0,1,21,1,24,5.25,0,8.0,0,0,1,0,2021-01-01
8638034,R Ra,6718382.0,NZ:Left-hand bat:Slow left-arm orthodox:,0.0,0.0,1,16,1,12,8.0,0,3.0,2,0,1,0,2021-01-01
8638034,BG Rl,4950364.0,NZ:Right-hand bat:Right-arm medium:,0.0,0.0,2,27,0,12,13.5,0,3.0,2,2,0,0,2021-01-01
8638034,BR Hn,3834305.0,NZ:Right-hand bat:Right-arm medium-fast:,0.0,0.0,2,7,0,6,7.0,0,2.0,1,0,0,0,2021-01-01
8638034,FL Wr,7543647.0,NZ:Left-hand bat:Slow left-arm orthodox:,0.0,0.0,2,29,0,24,7.25,0,9.0,2,1,0,0,2021-01-01
8638034,JG Wr,3566240.0,NZ:Right-hand bat:Right-arm offbreak:,0.0,0.0,2,31,0,18,10.33,0,1.0,1,2,0,0,2021-01-01
8638034,SC Kn,3776849.0,NZ:Right-hand bat:Right-arm fast-medium:,0.0,0.0,2,21,1,24,5.25,0,13.0,1,1,0,0,2021-01-01
8638034,ZN Gn,6718340.0,NZ:Right-hand bat:Right-arm medium:,0.0,0.0,2,30,0,12,15.0,0,1.0,4,1,1,0,2021-01-01
8588005,BJ Cg,1612610.0,AUS:Right-hand bat:Right-arm fast-medium:,0.0,0.0,1,8,0,6,8.0,0,1.0,1,0,0,0,2021-01-01
8588005,CJ Gn,5509524.0,AUS:Right-hand bat:Right-arm offbreak:,0.0,0.0,1,36,0,18,12.0,0,1.0,2,2,0,0,2021-01-01
